"drug_id","concept_id","name","combination","simple_strength","simple_name_EN","simple_dosage_form_EN","name_concatenated_EN (use it; prepared by the program)","simple_name_FR","simple_dosage_form_FR","name_concatenated_FR (use it; prepared by the program)"
1330,70125,"Acetazolamide 250 MG Oral Tablet","no","250MG","ACETAZOLAMIDE","Oral tablet","ACETAZOLAMIDE (250MG) - Oral tablet","\N","\N","\N"
1331,70129,"Acetic Acid 20 MG/ML Otic Solution","no","20MG/ML","ACETIC ACID","Ear solution","ACETIC ACID (20MG/ML) - Ear solution","\N","\N","\N"
1332,70149,"Acetylcysteine 100 MG/ML Oral Solution","no","100MG/ML","ACETYLCYSTEINE SODIUM","Oral solution","ACETYLCYSTEINE SODIUM (100MG/ML) - Oral solution","\N","\N","\N"
1333,70149,"Acetylcysteine 200 MG/ML Injectable Solution","no","200MG/ML","ACETYLCYSTEINE SODIUM","Solution for injection","ACETYLCYSTEINE SODIUM (200MG/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1334,70149,"Acetylcysteine 200 MG/ML Oral Solution","no","200MG/ML","ACETYLCYSTEINE SODIUM","Oral solution","ACETYLCYSTEINE SODIUM (200MG/ML) - Oral solution","\N","\N","\N"
1335,70229,"Activated Charcoal 125 MG/ML Oral Suspension","no","125MG/ML","ACTIVATED CHARCOAL","Oral suspension","ACTIVATED CHARCOAL (125MG/ML) - Oral suspension","\N","\N","\N"
1336,70229,"Activated Charcoal 175 MG / Calcium Carbonate 325 ","yes","175MG","ACTIVATED CHARCOAL","Oral tablet","ACTIVATED CHARCOAL (175MG) - Oral tablet","\N","\N","\N"
1337,70229,"Activated Charcoal 200 MG / Simethicone 40 MG Oral","yes","200MG","ACTIVATED CHARCOAL","Oral tablet","ACTIVATED CHARCOAL (200MG) - Oral tablet","\N","\N","\N"
1338,70229,"Activated Charcoal 200 MG Oral Capsule","no","200MG","ACTIVATED CHARCOAL","Oral capsule","ACTIVATED CHARCOAL (200MG) - Oral capsule","\N","\N","\N"
1339,70229,"Activated Charcoal 200 MG/ML Oral Suspension","no","200MG/ML","ACTIVATED CHARCOAL","Oral suspension","ACTIVATED CHARCOAL (200MG/ML) - Oral suspension","\N","\N","\N"
1340,70229,"Activated Charcoal 208 MG/ML Oral Suspension","no","208MG/ML","ACTIVATED CHARCOAL","Oral suspension","ACTIVATED CHARCOAL (208MG/ML) - Oral suspension","\N","\N","\N"
1341,70229,"Activated Charcoal 250 MG Enteric Coated Tablet","no","250MG","ACTIVATED CHARCOAL","Enteric-coated tablet","ACTIVATED CHARCOAL (250MG) - Enteric-coated tablet","\N","\N","\N"
1342,70229,"Activated Charcoal 250 MG Oral Capsule","no","250MG","ACTIVATED CHARCOAL","Oral capsule","ACTIVATED CHARCOAL (250MG) - Oral capsule","\N","\N","\N"
1343,70229,"Activated Charcoal 250 MG Oral Tablet","no","250MG","ACTIVATED CHARCOAL","Oral tablet","ACTIVATED CHARCOAL (250MG) - Oral tablet","\N","\N","\N"
1344,70229,"Activated Charcoal 260 MG Oral Capsule","no","260MG","ACTIVATED CHARCOAL","Oral capsule","ACTIVATED CHARCOAL (260MG) - Oral capsule","\N","\N","\N"
1345,70229,"Activated Charcoal 260 MG Oral Tablet","no","260MG","ACTIVATED CHARCOAL","Oral tablet","ACTIVATED CHARCOAL (260MG) - Oral tablet","\N","\N","\N"
1346,70229,"Activated Charcoal 280 MG Oral Capsule","no","280MG","ACTIVATED CHARCOAL","Oral capsule","ACTIVATED CHARCOAL (280MG) - Oral capsule","\N","\N","\N"
1347,70229,"Activated Charcoal 300 MG Oral Tablet","no","300MG","ACTIVATED CHARCOAL","Oral tablet","ACTIVATED CHARCOAL (300MG) - Oral tablet","\N","\N","\N"
1348,70229,"Activated Charcoal 350 MG / Calcium Carbonate 650 ","yes","350MG","ACTIVATED CHARCOAL","Oral tablet","ACTIVATED CHARCOAL (350MG) - Oral tablet","\N","\N","\N"
1349,70229,"Activated Charcoal 400 MG / Simethicone 80 MG Oral","yes","400MG","ACTIVATED CHARCOAL","Oral tablet","ACTIVATED CHARCOAL (400MG) - Oral tablet","\N","\N","\N"
1350,70229,"Activated Charcoal 417 MG/ML Oral Suspension","no","417MG/ML","ACTIVATED CHARCOAL","Oral suspension","ACTIVATED CHARCOAL (417MG/ML) - Oral suspension","\N","\N","\N"
1351,70229,"Activated Charcoal 50 MG/ML Oral Suspension","no","50MG/ML","ACTIVATED CHARCOAL","Oral suspension","ACTIVATED CHARCOAL (50MG/ML) - Oral suspension","\N","\N","\N"
1352,70229,"Activated Charcoal 600 MG Oral Tablet","no","600MG","ACTIVATED CHARCOAL","Oral tablet","ACTIVATED CHARCOAL (600MG) - Oral tablet","\N","\N","\N"
1353,70246,"Acyclovir 0.03 MG/MG Ophthalmic Ointment","no","0.03MG/MG","ACYCLOVIR SODIUM","Ophthalmic ointment","ACYCLOVIR SODIUM (0.03MG/MG) - Ophthalmic ointment","\N","POMMADE OPHT","\N"
1354,70246,"Acyclovir 200 MG Oral Tablet","no","200MG","ACYCLOVIR SODIUM","Oral tablet","ACYCLOVIR SODIUM (200MG) - Oral tablet","\N","\N","\N"
1355,70246,"Acyclovir 40 MG/ML Oral Suspension","no","40MG/ML","ACYCLOVIR SODIUM","Oral suspension","ACYCLOVIR SODIUM (40MG/ML) - Oral suspension","\N","\N","\N"
1356,70439,"Albendazole 400 MG Chewable Tablet","no","400MG","ALBENDAZOLE","Chewable tablet","ALBENDAZOLE (400MG) - Chewable tablet","Albendazole","\N","\N"
1357,70461,"Albuterol 0.01 MG/ML Injectable Solution","no","0.01MG/ML","ALBUTEROL SULFATE","Solution for injection","ALBUTEROL SULFATE (0.01MG/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1358,70461,"Albuterol 0.1 MG/ACTUAT Inhalant Solution","no","0.1MG/ACTUAT","ALBUTEROL SULFATE","Inhalation solution","ALBUTEROL SULFATE (0.1MG/ACTUAT) - Inhalation solution","\N","\N","\N"
1359,70461,"Albuterol 0.1 MG/ACTUAT Meterded Dose Inhaler","no","0.1MG/ACTUAT","ALBUTEROL SULFATE","Metered dose inhaler","ALBUTEROL SULFATE (0.1MG/ACTUAT) - Metered dose inhaler","\N","\N","\N"
1360,70461,"Albuterol Sulfate 5 MG/ML Respirator Solution","no","5MG/ML","ALBUTEROL SULFATE","Inhalation solution","ALBUTEROL SULFATE (5MG/ML) - Inhalation solution","\N","\N","\N"
1361,70879,"Allopurinol 100 MG Oral Tablet","no","100MG","ALLOPURINOL SODIUM","Oral tablet","ALLOPURINOL SODIUM (100MG) - Oral tablet","\N","\N","\N"
1362,70879,"Allopurinol 300 MG Oral Tablet","no","300MG","ALLOPURINOL SODIUM","Oral tablet","ALLOPURINOL SODIUM (300MG) - Oral tablet","\N","\N","\N"
1363,70942,"Alprostadil 0.5 MG/ML Injectable Solution","no","0.1MG/ML","ALPROSTADIL","Solution for injection","ALPROSTADIL (0.1MG/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1364,74741,"Amidotrizoate Meglumine 140-420 MG iodine/ML Injec","no","\N","DIATRIZOATE MEGLUMINE","Solution for injection","\N","\N","SOLUTION POUR INJECTION","\N"
1365,84053,"Amidotrizoate Sodium 140-420 MG iodine /ML Injecta","no","\N","SODIUM DIATRIZOATE","Solution for injection","\N","\N","SOLUTION POUR INJECTION","\N"
1366,71061,"Amikacin Sulfate 100 MG Powder for Injection","no","100MG","AMIKACIN SULFATE","Powder for injection","AMIKACIN SULFATE (100MG) - Powder for injection","\N","\N","\N"
1367,71061,"Amikacin Sulfate 1000 MG Powder for Injection","no","1000MG","AMIKACIN SULFATE","Powder for injection","AMIKACIN SULFATE (1000MG) - Powder for injection","\N","\N","\N"
1368,71061,"Amikacin Sulfate 500 MG Powder for Injection","no","500MG","AMIKACIN SULFATE","Powder for injection","AMIKACIN SULFATE (500MG) - Powder for injection","\N","\N","\N"
1369,71071,"Amiloride Hydrochloride 5 MG Oral Tablet","no","5MG","AMILORIDE HYDROCHLORIDE","Oral tablet","AMILORIDE HYDROCHLORIDE (5MG) - Oral tablet","\N","\N","\N"
1370,81457,"Aminosalicylic acid 4000 MG Granules","no","4000MG","P-AMINOSALICYLIC ACID","Granules","P-AMINOSALICYLIC ACID (4000MG) - Granules","\N","\N","\N"
1371,81457,"Aminosalicylic acid 500 MG Oral Tablet","no","500MG","P-AMINOSALICYLIC ACID","Oral tablet","P-AMINOSALICYLIC ACID (500MG) - Oral tablet","\N","\N","\N"
1372,71119,"Amiodarone hydrochloride 100 MG Oral Tablet","no","100MG","AMIODARONE HYDROCHLORIDE","Oral tablet","AMIODARONE HYDROCHLORIDE (100MG) - Oral tablet","\N","\N","\N"
1373,71119,"Amiodarone hydrochloride 200 MG Oral Tablet","no","200MG","AMIODARONE HYDROCHLORIDE","Oral tablet","AMIODARONE HYDROCHLORIDE (200MG) - Oral tablet","\N","\N","\N"
1374,71119,"Amiodarone hydrochloride 400 MG Oral Tablet","no","400MG","AMIODARONE HYDROCHLORIDE","Oral tablet","AMIODARONE HYDROCHLORIDE (400MG) - Oral tablet","\N","\N","\N"
1375,71119,"Amiodarone hydrochloride 50 MG/ML Injectable Solut","no","50MG/ML","AMIODARONE HYDROCHLORIDE","Solution for injection","AMIODARONE HYDROCHLORIDE (50MG/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1376,931,"Amitriptyline Hydrochloride 10 MG Oral Tablet","no","10MG","AMITRIPTYLINE","Oral tablet","AMITRIPTYLINE (10MG) - Oral tablet","\N","\N","\N"
1377,931,"Amitriptyline Hydrochloride 25 MG Oral Tablet","no","25MG","AMITRIPTYLINE","Oral tablet","AMITRIPTYLINE (25MG) - Oral tablet","\N","\N","\N"
1378,931,"Amitriptyline Hydrochloride 75 MG Oral Tablet","no","75MG","AMITRIPTYLINE","Oral tablet","AMITRIPTYLINE (75MG) - Oral tablet","\N","\N","\N"
1379,71138,"Amlodipine 5 MG Oral Tablet","no","5MG","AMLODIPINE BESYLATE","Oral tablet","AMLODIPINE BESYLATE (5MG) - Oral tablet","\N","\N","\N"
1380,71154,"Amodiaquine Hydrochloride 153mg Oral Tablet","no","153MG","AMODIAQUINE HYDROCHLORIDE","Oral tablet","AMODIAQUINE HYDROCHLORIDE (153MG) - Oral tablet","\N","\N","\N"
1381,71154,"Amodiaquine Hydrochloride 200mg Oral Tablet","no","200MG","AMODIAQUINE HYDROCHLORIDE","Oral tablet","AMODIAQUINE HYDROCHLORIDE (200MG) - Oral tablet","\N","\N","\N"
1382,450,"Amoxicillin 25 MG/ML / Clavulanate 6.25 MG/ML Oral","yes","\N","AMOXICILLIN AND CLAVULANIC ACID","Oral suspension","\N","Amoxicilline et acide clavulanique","\N","\N"
1383,71162,"Amoxicillin 25 MG/ML Oral Suspension","no","25MG/ML","AMOXICILLIN TRIHYDRATE","Oral suspension","AMOXICILLIN TRIHYDRATE (25MG/ML) - Oral suspension","\N","\N","\N"
1384,71162,"Amoxicillin 250 MG Chewable Tablet","no","250MG","AMOXICILLIN TRIHYDRATE","Chewable tablet","AMOXICILLIN TRIHYDRATE (250MG) - Chewable tablet","\N","\N","\N"
1385,71162,"Amoxicillin 250 MG Oral Capsule","no","250MG","AMOXICILLIN TRIHYDRATE","Oral capsule","AMOXICILLIN TRIHYDRATE (250MG) - Oral capsule","\N","\N","\N"
1386,450,"Amoxicillin 50 MG/ML / Clavulanate 12.5 MG/ML Oral","yes","\N","AMOXICILLIN AND CLAVULANIC ACID","Oral suspension","\N","Amoxicilline et acide clavulanique","\N","\N"
1387,71162,"Amoxicillin 50 MG/ML Oral Suspension","no","50MG/ML","AMOXICILLIN TRIHYDRATE","Oral suspension","AMOXICILLIN TRIHYDRATE (50MG/ML) - Oral suspension","\N","\N","\N"
1388,450,"Amoxicillin 500 MG / Clavulanate 125 MG Oral Table","yes","\N","AMOXICILLIN AND CLAVULANIC ACID","Oral tablet","\N","Amoxicilline et acide clavulanique","\N","\N"
1389,71162,"Amoxicillin 500 MG Oral Capsule","no","500MG","AMOXICILLIN TRIHYDRATE","Oral capsule","AMOXICILLIN TRIHYDRATE (500MG) - Oral capsule","\N","\N","\N"
1390,71162,"Amoxicillin 500 MG Oral Tablet","no","500MG","AMOXICILLIN TRIHYDRATE","Oral tablet","AMOXICILLIN TRIHYDRATE (500MG) - Oral tablet","\N","\N","\N"
1391,71184,"Amphotericin B Liposomal Complex 50 MG Injectable ","no","50MG","AMPHOTERICIN B","Solution for injection","AMPHOTERICIN B (50MG) - Solution for injection","AMPHOTERICIN B","SOLUTION POUR INJECTION","AMPHOTERICIN B (50MG) - SOLUTION POUR INJECTION"
1392,71184,"Amphotericin B sodium deoxycholate 50 MG Powder fo","no","50MG","AMPHOTERICIN B","Powder for injection","AMPHOTERICIN B (50MG) - Powder for injection","AMPHOTERICIN B","\N","\N"
1393,71191,"Ampicillin 1000 MG Powder for Injection","no","1000MG","AMPICILLIN TRIHYDRATE","Powder for injection","AMPICILLIN TRIHYDRATE (1000MG) - Powder for injection","\N","\N","\N"
1394,71191,"Ampicillin 500 MG Powder for Injection","no","500MG","AMPICILLIN TRIHYDRATE","Powder for injection","AMPICILLIN TRIHYDRATE (500MG) - Powder for injection","\N","\N","\N"
1395,71371,"Antihemophilic Factor; Human Recombinant 500 UNT/M","no","500UNT/ML","ANTIHEMOPHILIC FACTOR;HUMAN","Solution for injection","ANTIHEMOPHILIC FACTOR;HUMAN (500UNT/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1396,71371,"Antihemophilic Factor; Human Recombinant 500 UNT/M","no","500UNT/ML","ANTIHEMOPHILIC FACTOR;HUMAN","Solution for injection","ANTIHEMOPHILIC FACTOR;HUMAN (500UNT/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1397,71371,"Antihemophilic Factor; Human Recombinant 500 UNT/M","no","500UNT/ML","ANTIHEMOPHILIC FACTOR;HUMAN","Solution for injection","ANTIHEMOPHILIC FACTOR;HUMAN (500UNT/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1398,71371,"Antihemophilic Factor; Human Recombinant 500 UNT/M","no","500UNT/ML","ANTIHEMOPHILIC FACTOR;HUMAN","Solution for injection","ANTIHEMOPHILIC FACTOR;HUMAN (500UNT/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1399,71371,"Antihemophilic Factor; Human Recombinant 500 UNT/M","no","500UNT/ML","ANTIHEMOPHILIC FACTOR;HUMAN","Solution for injection","ANTIHEMOPHILIC FACTOR;HUMAN (500UNT/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1400,71371,"Antihemophilic Factor; Human Recombinant 500 UNT/M","no","500UNT/ML","ANTIHEMOPHILIC FACTOR;HUMAN","Solution for injection","ANTIHEMOPHILIC FACTOR;HUMAN (500UNT/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1401,71371,"Antihemophilic Factor; Human Recombinant 500 UNT/M","no","500UNT/ML","ANTIHEMOPHILIC FACTOR;HUMAN","Solution for injection","ANTIHEMOPHILIC FACTOR;HUMAN (500UNT/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1402,1447,"Artemether 20 MG / lumefantrine 120 MG Dispersible","yes","\N","ARTEMETHER-LUMEFANTRINE","Disintegrating tablet","\N","\N","\N","\N"
1403,1447,"Artemether 20 MG / lumefantrine 120 MG Oral Tablet","yes","\N","ARTEMETHER-LUMEFANTRINE","Oral tablet","\N","\N","\N","\N"
1404,71560,"Artemether 80 MG/ML Injectable Solution","no","80MG/ML","ARTEMETHER","Solution for injection","ARTEMETHER (80MG/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1405,161182,"Artesunate 100 MG / Amodiaquine 270 MG Oral Tablet","yes","\N","Amodiaquine / Artesunate","Oral tablet","\N","\N","\N","\N"
1406,162485,"Artesunate 100 MG / Mefloquine 220 MG Oral Tablet","yes","\N","Artesunate / Mefloquine","Oral tablet","\N","\N","\N","\N"
1407,71561,"Artesunate 200 MG Rectal Suppository","no","200MG","ARTESUNATE","Rectal supp","ARTESUNATE (200MG) - Rectal supp","\N","\N","\N"
1408,161182,"Artesunate 25 MG / Amodiaquine 67.5 MG Oral Tablet","yes","\N","Amodiaquine / Artesunate","Oral tablet","\N","\N","\N","\N"
1409,162485,"Artesunate 25 MG / Mefloquine 55 MG Oral Tablet","yes","\N","Artesunate / Mefloquine","Oral tablet","\N","\N","\N","\N"
1410,161182,"Artesunate 50 MG / Amodiaquine 135 MG Oral Tablet","yes","\N","Amodiaquine / Artesunate","Oral tablet","\N","\N","\N","\N"
1411,71561,"Artesunate 50 MG Oral Tablet","no","50MG","ARTESUNATE","Oral tablet","ARTESUNATE (50MG) - Oral tablet","\N","\N","\N"
1412,71561,"Artesunate 50 MG Rectal Suppository","no","50MG","ARTESUNATE","Rectal supp","ARTESUNATE (50MG) - Rectal supp","\N","\N","\N"
1413,71561,"Artesunate 60 MG Powder for Injection","no","60MG","ARTESUNATE","Powder for injection","ARTESUNATE (60MG) - Powder for injection","\N","\N","\N"
1414,71589,"Ascorbic Acid 50 MG Oral Tablet","no","50MG","ASCORBIC ACID","Oral tablet","ASCORBIC ACID (50MG) - Oral tablet","ACIDE ASCORBIQUE","\N","\N"
1415,71602,"Asperaginase 10000 UNT Powder for Injection","no","10000UNT","ASPARAGINASE","Powder for injection","ASPARAGINASE (10000UNT) - Powder for injection","\N","\N","\N"
1416,70153,"Aspirin 100 MG Oral Tablet","no","100MG","ACETYLSALICYLATE SODIUM","Oral tablet","ACETYLSALICYLATE SODIUM (100MG) - Oral tablet","\N","\N","\N"
1417,70153,"Aspirin 120 MG Rectal Suppository","no","120MG","ACETYLSALICYLATE SODIUM","Rectal supp","ACETYLSALICYLATE SODIUM (120MG) - Rectal supp","\N","\N","\N"
1418,70153,"Aspirin 150 MG Rectal Suppository","no","150MG","ACETYLSALICYLATE SODIUM","Rectal supp","ACETYLSALICYLATE SODIUM (150MG) - Rectal supp","\N","\N","\N"
1419,70153,"Aspirin 165 MG Enteric Coated Tablet","no","165MG","ACETYLSALICYLATE SODIUM","Enteric-coated tablet","ACETYLSALICYLATE SODIUM (165MG) - Enteric-coated tablet","\N","\N","\N"
1420,70153,"Aspirin 200 MG Rectal Suppository","no","200MG","ACETYLSALICYLATE SODIUM","Rectal supp","ACETYLSALICYLATE SODIUM (200MG) - Rectal supp","\N","\N","\N"
1421,70153,"Aspirin 300 MG Enteric Coated Tablet","no","300MG","ACETYLSALICYLATE SODIUM","Enteric-coated tablet","ACETYLSALICYLATE SODIUM (300MG) - Enteric-coated tablet","\N","\N","\N"
1422,70153,"Aspirin 300 MG Oral Tablet","no","300MG","ACETYLSALICYLATE SODIUM","Oral tablet","ACETYLSALICYLATE SODIUM (300MG) - Oral tablet","\N","\N","\N"
1423,70153,"Aspirin 325 MG Enteric Coated Tablet","no","325MG","ACETYLSALICYLATE SODIUM","Enteric-coated tablet","ACETYLSALICYLATE SODIUM (325MG) - Enteric-coated tablet","\N","\N","\N"
1424,70153,"Aspirin 325 MG Oral Tablet","no","325MG","ACETYLSALICYLATE SODIUM","Oral tablet","ACETYLSALICYLATE SODIUM (325MG) - Oral tablet","\N","\N","\N"
1425,70153,"Aspirin 486 MG Oral Tablet","no","486MG","ACETYLSALICYLATE SODIUM","Oral tablet","ACETYLSALICYLATE SODIUM (486MG) - Oral tablet","\N","\N","\N"
1426,70153,"Aspirin 488 MG Oral Tablet","no","488MG","ACETYLSALICYLATE SODIUM","Oral tablet","ACETYLSALICYLATE SODIUM (488MG) - Oral tablet","\N","\N","\N"
1427,70153,"Aspirin 500 MG Enteric Coated Capsule","no","500MG","ACETYLSALICYLATE SODIUM","Enteric-coated capsule","ACETYLSALICYLATE SODIUM (500MG) - Enteric-coated capsule","\N","\N","\N"
1428,70153,"Aspirin 500 MG Enteric Coated Tablet","no","500MG","ACETYLSALICYLATE SODIUM","Enteric-coated tablet","ACETYLSALICYLATE SODIUM (500MG) - Enteric-coated tablet","\N","\N","\N"
1429,70153,"Aspirin 500 MG Oral Tablet","no","500MG","ACETYLSALICYLATE SODIUM","Oral tablet","ACETYLSALICYLATE SODIUM (500MG) - Oral tablet","\N","\N","\N"
1430,70153,"Aspirin 60 MG Rectal Suppository","no","60MG","ACETYLSALICYLATE SODIUM","Rectal supp","ACETYLSALICYLATE SODIUM (60MG) - Rectal supp","\N","\N","\N"
1431,71648,"Atazanavir 100 MG Oral Capsule","no","100MG","ATAZANAVIR SULFATE","Oral capsule","ATAZANAVIR SULFATE (100MG) - Oral capsule","\N","\N","\N"
1432,71648,"Atazanavir 150 MG Oral Capsule","no","150MG","ATAZANAVIR SULFATE","Oral capsule","ATAZANAVIR SULFATE (150MG) - Oral capsule","\N","\N","\N"
1433,71648,"Atazanavir 300 MG Oral Capsule","no","300MG","ATAZANAVIR SULFATE","Oral capsule","ATAZANAVIR SULFATE (300MG) - Oral capsule","\N","\N","\N"
1434,71671,"Atracurium Besylate 10 MG/ML Injectable Solution","no","10MG/ML","ATRACURIUM BESYLATE","Solution for injection","ATRACURIUM BESYLATE (10MG/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1435,71682,"Atropine Sulfate 1 MG/ML Injectable Solution","no","1MG/ML","ATROPINE SULFATE","Solution for injection","ATROPINE SULFATE (1MG/ML) - Solution for injection","\N","SOLUTION POUR INJECTION","\N"
1436,71682,"Atropine Sulfate 1 MG/ML Ophthalmic Solution","no","1MG/ML","ATROPINE SULFATE","Eye solution","ATROPINE SULFATE (1MG/ML) - Eye solution","\N","\N","\N"
1437,71682,"Atropine Sulfate 10 MG/ML Ophthalmic Solution","no","10MG/ML","ATROPINE SULFATE","Eye solution","ATROPINE SULFATE (10MG/ML) - Eye solution","\N","\N","\N"
1438,71682,"Atropine Sulfate 5 MG/ML Ophthalmic Solution","no","5MG/ML","ATROPINE SULFATE","Eye solution","ATROPINE SULFATE (5MG/ML) - Eye solution","\N","\N","\N"
1439,71768,"Azathioprine 100 MG Powder for Injection","no","100MG","AZATHIOPRINE SODIUM SALT","Powder for injection","AZATHIOPRINE SODIUM SALT (100MG) - Powder for injection","\N","\N","\N"
1440,71768,"Azathioprine 50 MG Oral Tablet","no","50MG","AZATHIOPRINE SODIUM SALT","Oral tablet","AZATHIOPRINE SODIUM SALT (50MG) - Oral tablet","\N","\N","\N"
1441,71780,"Azithromycin 250 MG Oral Capsule","no","250MG","AZITHROMYCIN","Oral capsule","AZITHROMYCIN (250MG) - Oral capsule","Azithromycine","\N","\N"
1442,71780,"Azithromycin 40 MG/ML Oral Suspension","no","40MG/ML","AZITHROMYCIN","Oral suspension","AZITHROMYCIN (40MG/ML) - Oral suspension","Azithromycine","\N","\N"
1443,71780,"Azithromycin 500 MG Oral Capsule","no","500MG","AZITHROMYCIN","Oral capsule","AZITHROMYCIN (500MG) - Oral capsule","Azithromycine","\N","\N"
1444,71867,"Barium Sulfate Aqueous Suspension","no","\N","Barium sulfate","Oral suspension","\N","\N","\N","\N"
1445,71902,"BCG vaccine","no","\N","BCG VACCINE","Solution for injection","\N","\N","SOLUTION POUR INJECTION","\N"
1446,71917,"Beclomethasone Diproprionate 0.05 MG/ACTUAT Inhala","no","0.05MG/ACTUAT","BECLOMETHASONE DIPROPIONATE","Inhalation solution","BECLOMETHASONE DIPROPIONATE (0.05MG/ACTUAT) - Inhalation solution","\N","\N","\N"
1447,71917,"Beclomethasone Diproprionate 0.1 MG/ACTUAT Inhalan","no","0.1MG/ACTUAT","BECLOMETHASONE DIPROPIONATE","Inhalation solution","BECLOMETHASONE DIPROPIONATE (0.1MG/ACTUAT) - Inhalation solution","\N","\N","\N"
1448,72055,"Benznidazole 100 MG Oral Tablet","no","100MG","BENZONIDAZOLE","Oral tablet","BENZONIDAZOLE (100MG) - Oral tablet","\N","\N","\N"
1449,72055,"Benznidazole 12.5 MG Oral Tablet","no","12.5MG","BENZONIDAZOLE","Oral tablet","BENZONIDAZOLE (12.5MG) - Oral tablet","\N","\N","\N"
1450,72055,"Benznidazole 50 MG Oral Tablet","no","50MG","BENZONIDAZOLE","Oral tablet","BENZONIDAZOLE (50MG) - Oral tablet","\N","\N","\N"
